transaction_id,store_id,product_id,date_id,transaction_type,quantity,reference_sale_id,reference_shipment_id
1,79,1015,2023-01-03,SHIPMENT,93,,1
2,920,1902,2023-06-04,SHIPMENT,41,,2
3,2616,261,2024-12-02,SHIPMENT,149,,3
4,1053,786,2023-11-24,SHIPMENT,89,,4
5,2700,1323,2023-01-22,SHIPMENT,116,,5
6,2380,1622,2022-01-24,SHIPMENT,35,,6
7,1331,1194,2022-03-27,SHIPMENT,95,,7
8,2984,756,2022-03-02,SHIPMENT,106,,8
9,361,339,2024-04-03,SHIPMENT,120,,9
10,398,255,2024-05-03,SHIPMENT,100,,10
11,1697,107,2025-04-14,SHIPMENT,37,,11
12,140,1522,2024-04-23,SHIPMENT,34,,12
13,2451,1878,2022-04-01,SHIPMENT,86,,13
14,244,1840,2024-03-03,SHIPMENT,134,,14
15,1198,1958,2022-02-26,SHIPMENT,129,,15
16,1643,1390,2022-01-20,SHIPMENT,116,,16
17,2563,1721,2023-03-27,SHIPMENT,68,,17
18,2579,1335,2023-11-06,SHIPMENT,130,,18
19,267,1671,2023-03-14,SHIPMENT,105,,19
20,1945,463,2023-04-06,SHIPMENT,148,,20
21,2086,1978,2022-05-12,SHIPMENT,132,,21
22,1033,1690,2024-04-14,SHIPMENT,57,,22
23,1489,1675,2023-11-18,SHIPMENT,132,,23
24,1648,180,2022-02-20,SHIPMENT,110,,24
25,1136,71,2025-03-06,SHIPMENT,37,,25
26,1215,1487,2025-04-02,SHIPMENT,64,,26
27,1983,1747,2023-12-10,SHIPMENT,94,,27
28,1594,1931,2023-02-06,SHIPMENT,106,,28
29,1705,1199,2024-11-20,SHIPMENT,132,,29
30,737,462,2023-09-20,SHIPMENT,42,,30
31,619,1205,2024-02-25,SHIPMENT,57,,31
32,2114,1260,2022-07-18,SHIPMENT,147,,32
33,1735,669,2023-02-25,SHIPMENT,94,,33
34,1224,1884,2022-07-23,SHIPMENT,33,,34
35,1834,1706,2025-02-16,SHIPMENT,105,,35
36,2533,1173,2024-04-11,SHIPMENT,125,,36
37,741,724,2024-08-02,SHIPMENT,134,,37
38,2424,566,2022-01-22,SHIPMENT,92,,38
39,2730,1391,2025-01-17,SHIPMENT,103,,39
40,345,198,2022-10-14,SHIPMENT,90,,40
41,83,927,2023-07-29,SHIPMENT,93,,41
42,1732,1331,2024-05-31,SHIPMENT,93,,42
43,2631,1612,2025-02-08,SHIPMENT,150,,43
44,2991,1808,2022-07-15,SHIPMENT,137,,44
45,2032,1853,2023-11-24,SHIPMENT,139,,45
46,142,781,2023-02-20,SHIPMENT,148,,46
47,1270,363,2022-12-25,SHIPMENT,50,,47
48,628,1433,2023-09-06,SHIPMENT,56,,48
49,2898,1114,2022-06-11,SHIPMENT,132,,49
50,877,21,2025-03-19,SHIPMENT,139,,50
51,1491,1055,2022-05-12,SHIPMENT,91,,51
52,2374,174,2024-10-14,SHIPMENT,116,,52
53,1146,2026,2025-05-28,SHIPMENT,121,,53
54,2761,417,2022-04-24,SHIPMENT,92,,54
55,1940,1035,2024-04-01,SHIPMENT,50,,55
56,29,1943,2022-04-13,SHIPMENT,60,,56
57,733,319,2024-07-23,SHIPMENT,112,,57
58,1102,135,2022-11-10,SHIPMENT,133,,58
59,556,1382,2023-02-18,SHIPMENT,135,,59
60,998,1129,2022-04-21,SHIPMENT,135,,60
61,201,511,2022-11-30,SHIPMENT,77,,61
62,820,603,2023-08-04,SHIPMENT,130,,62
63,2383,367,2025-01-28,SHIPMENT,36,,63
64,1431,1471,2023-10-21,SHIPMENT,49,,64
65,2847,1450,2022-07-17,SHIPMENT,72,,65
66,136,1032,2022-11-04,SHIPMENT,34,,66
67,2313,1048,2022-01-03,SHIPMENT,147,,67
68,466,791,2022-03-23,SHIPMENT,70,,68
69,2888,1922,2024-06-23,SHIPMENT,124,,69
70,1690,1574,2023-03-15,SHIPMENT,37,,70
71,873,413,2023-04-02,SHIPMENT,47,,71
72,567,221,2024-01-05,SHIPMENT,114,,72
73,1403,1324,2023-05-05,SHIPMENT,36,,73
74,2530,887,2024-07-03,SHIPMENT,150,,74
75,13,446,2023-05-07,SHIPMENT,64,,75
76,349,802,2023-12-21,SHIPMENT,113,,76
77,602,1642,2025-05-22,SHIPMENT,138,,77
78,1423,899,2022-09-19,SHIPMENT,78,,78
79,2488,1619,2025-05-20,SHIPMENT,128,,79
80,686,1671,2024-03-08,SHIPMENT,149,,80
81,2451,177,2022-08-06,SHIPMENT,126,,81
82,2073,838,2024-01-21,SHIPMENT,105,,82
83,1389,333,2024-05-20,SHIPMENT,31,,83
84,2508,74,2023-05-10,SHIPMENT,118,,84
85,782,520,2024-01-27,SHIPMENT,46,,85
86,2051,411,2024-04-11,SHIPMENT,75,,86
87,559,84,2024-11-07,SHIPMENT,127,,87
88,2671,891,2022-07-08,SHIPMENT,46,,88
89,2813,1864,2022-11-27,SHIPMENT,50,,89
90,1235,1467,2023-03-30,SHIPMENT,108,,90
91,546,51,2024-10-15,SHIPMENT,110,,91
92,976,251,2025-03-11,SHIPMENT,82,,92
93,575,1584,2023-11-19,SHIPMENT,64,,93
94,262,1120,2022-12-30,SHIPMENT,130,,94
95,287,1904,2024-05-03,SHIPMENT,128,,95
96,1812,164,2024-04-21,SHIPMENT,94,,96
97,2475,1945,2022-09-29,SHIPMENT,71,,97
98,155,287,2023-12-17,SHIPMENT,92,,98
99,923,1713,2022-09-05,SHIPMENT,78,,99
100,677,1440,2023-08-23,SHIPMENT,139,,100
101,2406,1401,2025-02-11,SHIPMENT,138,,101
102,2965,1431,2023-09-12,SHIPMENT,53,,102
103,355,1555,2025-02-01,SHIPMENT,53,,103
104,2589,310,2024-05-15,SHIPMENT,86,,104
105,1223,586,2024-09-24,SHIPMENT,48,,105
106,1167,843,2023-10-15,SHIPMENT,62,,106
107,1767,212,2023-06-23,SHIPMENT,56,,107
108,1820,1775,2024-05-19,SHIPMENT,67,,108
109,1407,789,2022-01-05,SHIPMENT,128,,109
110,2486,1973,2022-10-11,SHIPMENT,118,,110
111,1788,1366,2024-07-11,SHIPMENT,116,,111
112,2078,1258,2023-11-20,SHIPMENT,59,,112
113,1672,1610,2023-07-06,SHIPMENT,31,,113
114,1494,301,2023-08-30,SHIPMENT,81,,114
115,686,1114,2022-06-17,SHIPMENT,121,,115
116,1323,1899,2022-02-05,SHIPMENT,141,,116
117,2040,667,2023-02-06,SHIPMENT,42,,117
118,2298,1935,2023-02-27,SHIPMENT,100,,118
119,2625,43,2024-02-19,SHIPMENT,30,,119
120,2135,826,2024-03-17,SHIPMENT,56,,120
121,2013,987,2022-08-12,SHIPMENT,148,,121
122,2322,445,2025-03-24,SHIPMENT,117,,122
123,986,801,2022-01-16,SHIPMENT,45,,123
124,2659,110,2022-01-25,SHIPMENT,126,,124
125,2812,632,2024-06-27,SHIPMENT,63,,125
126,2214,1039,2022-08-01,SHIPMENT,138,,126
127,1186,8,2024-07-14,SHIPMENT,50,,127
128,784,962,2023-03-14,SHIPMENT,113,,128
129,417,1579,2023-12-28,SHIPMENT,124,,129
130,1291,1289,2024-01-19,SHIPMENT,134,,130
131,265,1034,2024-01-25,SHIPMENT,36,,131
132,1276,1749,2023-11-03,SHIPMENT,88,,132
133,2870,1898,2024-08-16,SHIPMENT,67,,133
134,542,533,2022-05-05,SHIPMENT,72,,134
135,2878,871,2024-06-30,SHIPMENT,51,,135
136,1236,2031,2022-03-20,SHIPMENT,52,,136
137,1647,186,2024-06-09,SHIPMENT,103,,137
138,205,227,2023-12-28,SHIPMENT,74,,138
139,1189,613,2024-03-24,SHIPMENT,37,,139
140,477,403,2023-02-24,SHIPMENT,36,,140
141,1333,1350,2024-02-23,SHIPMENT,69,,141
142,1847,1103,2022-07-23,SHIPMENT,100,,142
143,1727,1292,2022-06-02,SHIPMENT,92,,143
144,84,2004,2022-03-30,SHIPMENT,93,,144
145,241,1782,2024-12-05,SHIPMENT,112,,145
146,1948,199,2024-11-28,SHIPMENT,32,,146
147,776,1594,2022-07-31,SHIPMENT,55,,147
148,300,849,2022-08-26,SHIPMENT,97,,148
149,2567,1319,2022-11-11,SHIPMENT,130,,149
150,177,393,2022-12-26,SHIPMENT,60,,150
151,2193,1797,2024-05-28,SHIPMENT,113,,151
152,2228,540,2022-01-02,SHIPMENT,145,,152
153,854,1799,2024-01-27,SHIPMENT,89,,153
154,1918,82,2023-10-11,SHIPMENT,112,,154
155,390,1487,2023-05-20,SHIPMENT,47,,155
156,1386,1129,2025-01-05,SHIPMENT,135,,156
157,2755,1357,2024-10-20,SHIPMENT,106,,157
158,848,1871,2023-07-13,SHIPMENT,72,,158
159,2276,938,2023-09-30,SHIPMENT,65,,159
160,2504,972,2025-03-14,SHIPMENT,127,,160
161,1839,1477,2022-11-18,SHIPMENT,113,,161
162,627,34,2024-08-04,SHIPMENT,110,,162
163,1209,459,2023-07-23,SHIPMENT,41,,163
164,2628,184,2023-04-26,SHIPMENT,70,,164
165,2766,1165,2025-02-08,SHIPMENT,49,,165
166,1715,1906,2022-11-05,SHIPMENT,52,,166
167,2972,1498,2022-12-15,SHIPMENT,106,,167
168,588,1633,2023-02-22,SHIPMENT,49,,168
169,1321,1975,2024-01-20,SHIPMENT,98,,169
170,2793,563,2022-05-21,SHIPMENT,69,,170
171,2611,1080,2022-08-01,SHIPMENT,140,,171
172,1892,651,2024-07-01,SHIPMENT,100,,172
173,455,1952,2023-09-14,SHIPMENT,66,,173
174,1886,1702,2023-01-08,SHIPMENT,80,,174
175,2699,1226,2023-10-02,SHIPMENT,101,,175
176,755,163,2024-05-12,SHIPMENT,55,,176
177,2374,6,2025-03-12,SHIPMENT,135,,177
178,2363,81,2023-10-15,SHIPMENT,105,,178
179,2044,1063,2023-03-07,SHIPMENT,84,,179
180,1983,641,2023-02-12,SHIPMENT,42,,180
181,513,969,2022-10-22,SHIPMENT,32,,181
182,1393,1263,2024-05-09,SHIPMENT,103,,182
183,765,622,2023-03-22,SHIPMENT,129,,183
184,720,712,2023-02-20,SHIPMENT,44,,184
185,2885,149,2022-06-09,SHIPMENT,64,,185
186,1929,761,2024-05-04,SHIPMENT,142,,186
187,2763,1374,2022-08-19,SHIPMENT,149,,187
188,2925,566,2024-09-26,SHIPMENT,46,,188
189,1332,1307,2025-03-03,SHIPMENT,102,,189
190,1783,1817,2024-01-30,SHIPMENT,31,,190
191,810,1540,2024-05-06,SHIPMENT,81,,191
192,497,756,2023-10-20,SHIPMENT,99,,192
193,1835,875,2022-11-06,SHIPMENT,92,,193
194,1771,1771,2023-08-27,SHIPMENT,67,,194
195,825,1000,2025-04-25,SHIPMENT,140,,195
196,1704,194,2023-09-11,SHIPMENT,113,,196
197,967,752,2024-02-16,SHIPMENT,88,,197
198,2913,1511,2022-09-10,SHIPMENT,32,,198
199,940,263,2022-05-25,SHIPMENT,66,,199
200,1176,1584,2024-05-06,SHIPMENT,85,,200
201,398,1958,2023-09-17,SHIPMENT,53,,201
202,923,1439,2022-05-16,SHIPMENT,48,,202
203,1236,41,2024-05-08,SHIPMENT,79,,203
204,2488,912,2024-02-21,SHIPMENT,111,,204
205,2677,1972,2022-08-24,SHIPMENT,64,,205
206,51,1098,2025-01-18,SHIPMENT,41,,206
207,447,1691,2022-01-05,SHIPMENT,142,,207
208,2083,1630,2023-08-03,SHIPMENT,79,,208
209,2029,782,2024-07-13,SHIPMENT,45,,209
210,1211,1867,2022-12-08,SHIPMENT,57,,210
211,2558,476,2023-11-17,SHIPMENT,100,,211
212,575,783,2024-01-26,SHIPMENT,54,,212
213,216,2004,2025-04-02,SHIPMENT,49,,213
214,2080,258,2024-05-16,SHIPMENT,142,,214
215,1280,68,2025-03-27,SHIPMENT,32,,215
216,2082,1313,2024-12-24,SHIPMENT,89,,216
217,1229,387,2022-06-04,SHIPMENT,75,,217
218,1969,1315,2022-09-08,SHIPMENT,143,,218
219,2236,919,2022-05-31,SHIPMENT,88,,219
220,1914,892,2023-04-29,SHIPMENT,105,,220
221,481,1626,2024-11-29,SHIPMENT,146,,221
222,623,178,2023-09-29,SHIPMENT,76,,222
223,2941,1546,2023-09-23,SHIPMENT,76,,223
224,2487,174,2022-07-08,SHIPMENT,135,,224
225,2074,906,2024-12-26,SHIPMENT,116,,225
226,1671,292,2023-02-26,SHIPMENT,65,,226
227,2690,721,2023-10-05,SHIPMENT,135,,227
228,816,821,2023-10-28,SHIPMENT,116,,228
229,2268,1888,2024-07-10,SHIPMENT,97,,229
230,901,1091,2024-07-12,SHIPMENT,49,,230
231,2177,542,2023-04-30,SHIPMENT,139,,231
232,1581,553,2023-04-14,SHIPMENT,55,,232
233,2362,689,2022-09-24,SHIPMENT,69,,233
234,1316,837,2024-09-17,SHIPMENT,143,,234
235,381,366,2022-03-28,SHIPMENT,141,,235
236,1722,778,2022-06-07,SHIPMENT,48,,236
237,476,1094,2024-01-29,SHIPMENT,127,,237
238,1959,1195,2023-12-02,SHIPMENT,145,,238
239,1777,557,2023-03-09,SHIPMENT,95,,239
240,1369,1869,2023-08-01,SHIPMENT,54,,240
241,1794,1152,2024-12-04,SHIPMENT,83,,241
242,47,492,2022-10-10,SHIPMENT,141,,242
243,2520,1901,2023-04-28,SHIPMENT,89,,243
244,471,1943,2024-09-14,SHIPMENT,103,,244
245,951,900,2023-10-01,SHIPMENT,52,,245
246,324,1535,2025-01-27,SHIPMENT,54,,246
247,370,509,2022-03-04,SHIPMENT,99,,247
248,170,575,2024-10-09,SHIPMENT,45,,248
249,122,1142,2023-04-20,SHIPMENT,106,,249
250,138,188,2025-01-27,SHIPMENT,34,,250
251,1631,1073,2024-11-26,SHIPMENT,105,,251
252,1613,864,2023-08-03,SHIPMENT,137,,252
253,2544,130,2024-11-23,SHIPMENT,62,,253
254,1772,1415,2024-04-18,SHIPMENT,32,,254
255,635,19,2023-01-08,SHIPMENT,57,,255
256,379,1741,2024-12-09,SHIPMENT,101,,256
257,2880,111,2024-09-20,SHIPMENT,139,,257
258,736,1806,2023-10-02,SHIPMENT,92,,258
259,1486,114,2022-05-11,SHIPMENT,85,,259
260,342,260,2023-03-21,SHIPMENT,145,,260
261,1024,1204,2022-04-11,SHIPMENT,30,,261
262,277,795,2023-09-15,SHIPMENT,77,,262
263,2479,1856,2025-01-03,SHIPMENT,147,,263
264,226,268,2022-09-22,SHIPMENT,75,,264
265,2888,1694,2022-06-13,SHIPMENT,51,,265
266,1879,1089,2025-01-12,SHIPMENT,69,,266
267,2365,990,2024-02-18,SHIPMENT,90,,267
268,303,1952,2024-05-28,SHIPMENT,35,,268
269,1502,1355,2022-06-05,SHIPMENT,119,,269
270,1749,1562,2023-09-03,SHIPMENT,126,,270
271,34,979,2022-10-21,SHIPMENT,65,,271
272,2975,1577,2022-03-05,SHIPMENT,64,,272
273,1946,1155,2024-05-11,SHIPMENT,61,,273
274,992,285,2024-07-11,SHIPMENT,36,,274
275,2071,1036,2023-11-19,SHIPMENT,58,,275
276,2440,1288,2025-04-11,SHIPMENT,53,,276
277,432,2004,2025-05-25,SHIPMENT,71,,277
278,844,1113,2024-02-18,SHIPMENT,85,,278
279,1886,1759,2022-03-02,SHIPMENT,86,,279
280,457,1271,2025-05-12,SHIPMENT,129,,280
281,2954,19,2024-09-15,SHIPMENT,59,,281
282,659,124,2025-03-23,SHIPMENT,45,,282
283,1670,1080,2024-09-22,SHIPMENT,94,,283
284,1086,83,2024-07-25,SHIPMENT,72,,284
285,2962,1918,2023-12-09,SHIPMENT,125,,285
286,2016,1060,2024-12-23,SHIPMENT,63,,286
287,873,717,2023-10-16,SHIPMENT,148,,287
288,850,1920,2022-04-30,SHIPMENT,92,,288
289,1062,210,2022-08-08,SHIPMENT,90,,289
290,1430,156,2022-01-07,SHIPMENT,112,,290
291,2861,70,2023-02-04,SHIPMENT,57,,291
292,940,963,2022-08-13,SHIPMENT,125,,292
293,496,1585,2022-06-14,SHIPMENT,135,,293
294,376,209,2025-04-15,SHIPMENT,131,,294
295,1398,835,2023-08-16,SHIPMENT,88,,295
296,2311,1044,2022-03-12,SHIPMENT,56,,296
297,2044,1531,2023-12-13,SHIPMENT,70,,297
298,385,1757,2022-03-25,SHIPMENT,104,,298
299,1711,1292,2022-07-07,SHIPMENT,43,,299
300,82,1241,2025-01-08,SHIPMENT,112,,300
301,1827,945,2025-02-27,SHIPMENT,57,,301
302,236,573,2022-07-01,SHIPMENT,127,,302
303,1393,1411,2022-01-25,SHIPMENT,120,,303
304,2591,846,2025-04-08,SHIPMENT,74,,304
305,1312,644,2023-12-11,SHIPMENT,78,,305
306,2038,713,2023-01-15,SHIPMENT,82,,306
307,76,693,2022-07-10,SHIPMENT,95,,307
308,1876,393,2023-07-13,SHIPMENT,150,,308
309,1028,852,2022-11-26,SHIPMENT,33,,309
310,1059,1376,2023-06-17,SHIPMENT,133,,310
311,586,138,2023-03-15,SHIPMENT,42,,311
312,805,1319,2024-12-13,SHIPMENT,140,,312
313,584,230,2025-05-18,SHIPMENT,66,,313
314,1827,1038,2023-03-23,SHIPMENT,108,,314
315,2307,118,2024-12-17,SHIPMENT,70,,315
316,2422,13,2023-07-30,SHIPMENT,72,,316
317,1097,1291,2023-04-14,SHIPMENT,47,,317
318,2936,1502,2023-10-13,SHIPMENT,32,,318
319,847,562,2022-12-12,SHIPMENT,107,,319
320,2469,714,2023-01-16,SHIPMENT,149,,320
321,1953,1837,2024-02-22,SHIPMENT,124,,321
322,1045,91,2022-05-10,SHIPMENT,135,,322
323,2615,1981,2024-10-27,SHIPMENT,141,,323
324,1068,958,2023-09-30,SHIPMENT,92,,324
325,2141,1069,2022-10-30,SHIPMENT,57,,325
326,502,466,2023-05-11,SHIPMENT,122,,326
327,2016,399,2024-09-29,SHIPMENT,103,,327
328,1610,1662,2022-03-23,SHIPMENT,125,,328
