inventory_id,product_id,store_id,warehouse_id,date_id,stock_on_hand,stock_in,stock_out,reorder_point,lead_time_days,expiry_date,batch_number,batch_id
1,1015,79,5,2023-01-03,89,93,4,30,1,2023-05-28,BN00001,1015-2023-01-03
2,1902,920,8,2023-06-04,35,41,6,30,3,2023-11-18,BN00002,1902-2023-06-04
3,261,2616,5,2024-12-02,145,149,4,30,2,2025-04-07,BN00003,261-2024-12-02
4,786,1053,3,2023-11-24,81,89,8,30,2,2024-03-17,BN00004,786-2023-11-24
5,1323,2700,7,2023-01-22,116,116,0,30,3,2023-06-29,BN00005,1323-2023-01-22
6,1622,2380,4,2022-01-24,35,35,0,30,1,2022-07-22,BN00006,1622-2022-01-24
7,1194,1331,1,2022-03-27,76,95,19,30,2,2022-08-09,BN00007,1194-2022-03-27
8,756,2984,4,2022-03-02,88,106,18,30,5,2022-06-14,BN00008,756-2022-03-02
9,339,361,5,2024-04-03,110,120,10,30,2,2024-07-03,BN00009,339-2024-04-03
10,255,398,4,2024-05-03,98,100,2,30,5,2024-08-25,BN00010,255-2024-05-03
11,107,1697,7,2025-04-14,21,37,16,30,3,2025-08-26,BN00011,107-2025-04-14
12,1522,140,2,2024-04-23,16,34,18,30,2,2024-08-01,BN00012,1522-2024-04-23
13,1878,2451,4,2022-04-01,86,86,0,30,4,2022-08-25,BN00013,1878-2022-04-01
14,1840,244,6,2024-03-03,123,134,11,30,4,2024-08-19,BN00014,1840-2024-03-03
15,1958,1198,4,2022-02-26,121,129,8,30,1,2022-07-23,BN00015,1958-2022-02-26
16,1390,1643,3,2022-01-20,116,116,0,30,5,2022-06-01,BN00016,1390-2022-01-20
17,1721,2563,1,2023-03-27,58,68,10,30,1,2023-07-08,BN00017,1721-2023-03-27
18,1335,2579,4,2023-11-06,116,130,14,30,1,2024-03-29,BN00018,1335-2023-11-06
19,1671,267,6,2023-03-14,102,105,3,30,3,2023-08-08,BN00019,1671-2023-03-14
20,463,1945,4,2023-04-06,148,148,0,30,5,2023-09-14,BN00020,463-2023-04-06
21,1978,2086,1,2022-05-12,132,132,0,30,3,2022-08-17,BN00021,1978-2022-05-12
22,1690,1033,4,2024-04-14,57,57,0,30,4,2024-10-07,BN00022,1690-2024-04-14
23,1675,1489,5,2023-11-18,132,132,0,30,4,2024-04-23,BN00023,1675-2023-11-18
24,180,1648,2,2022-02-20,110,110,0,30,3,2022-08-06,BN00024,180-2022-02-20
25,71,1136,4,2025-03-06,30,37,7,30,5,2025-06-13,BN00025,71-2025-03-06
26,1487,1215,6,2025-04-02,64,64,0,30,1,2025-08-22,BN00026,1487-2025-04-02
27,1747,1983,8,2023-12-10,91,94,3,30,2,2024-04-12,BN00027,1747-2023-12-10
28,1931,1594,4,2023-02-06,106,106,0,30,5,2023-05-27,BN00028,1931-2023-02-06
29,1199,1705,6,2024-11-20,123,132,9,30,3,2025-03-28,BN00029,1199-2024-11-20
30,462,737,4,2023-09-20,37,42,5,30,5,2024-01-27,BN00030,462-2023-09-20
31,1205,619,8,2024-02-25,52,57,5,30,4,2024-08-18,BN00031,1205-2024-02-25
32,1260,2114,6,2022-07-18,147,147,0,30,3,2022-11-02,BN00032,1260-2022-07-18
33,669,1735,1,2023-02-25,94,94,0,30,3,2023-06-27,BN00033,669-2023-02-25
34,1884,1224,1,2022-07-23,24,33,9,30,2,2022-11-17,BN00034,1884-2022-07-23
35,1706,1834,6,2025-02-16,92,105,13,30,4,2025-07-14,BN00035,1706-2025-02-16
36,1173,2533,6,2024-04-11,106,125,19,30,2,2024-08-23,BN00036,1173-2024-04-11
37,724,741,4,2024-08-02,134,134,0,30,2,2024-12-07,BN00037,724-2024-08-02
38,566,2424,8,2022-01-22,89,92,3,30,1,2022-07-21,BN00038,566-2022-01-22
39,1391,2730,1,2025-01-17,86,103,17,30,4,2025-07-11,BN00039,1391-2025-01-17
40,198,345,8,2022-10-14,79,90,11,30,1,2023-03-02,BN00040,198-2022-10-14
41,927,83,4,2023-07-29,79,93,14,30,2,2023-12-12,BN00041,927-2023-07-29
42,1331,1732,5,2024-05-31,77,93,16,30,1,2024-11-09,BN00042,1331-2024-05-31
43,1612,2631,4,2025-02-08,150,150,0,30,1,2025-05-21,BN00043,1612-2025-02-08
44,1808,2991,4,2022-07-15,133,137,4,30,3,2022-10-31,BN00044,1808-2022-07-15
45,1853,2032,4,2023-11-24,129,139,10,30,3,2024-05-20,BN00045,1853-2023-11-24
46,781,142,6,2023-02-20,148,148,0,30,2,2023-08-05,BN00046,781-2023-02-20
47,363,1270,4,2022-12-25,42,50,8,30,2,2023-05-07,BN00047,363-2022-12-25
48,1433,628,3,2023-09-06,56,56,0,30,2,2024-01-31,BN00048,1433-2023-09-06
49,1114,2898,2,2022-06-11,128,132,4,30,2,2022-09-25,BN00049,1114-2022-06-11
50,21,877,8,2025-03-19,131,139,8,30,1,2025-07-07,BN00050,21-2025-03-19
51,1055,1491,2,2022-05-12,91,91,0,30,5,2022-08-15,BN00051,1055-2022-05-12
52,174,2374,2,2024-10-14,103,116,13,30,5,2025-04-08,BN00052,174-2024-10-14
53,2026,1146,4,2025-05-28,113,121,8,30,3,2025-10-03,BN00053,2026-2025-05-28
54,417,2761,1,2022-04-24,92,92,0,30,3,2022-10-02,BN00054,417-2022-04-24
55,1035,1940,5,2024-04-01,33,50,17,30,2,2024-09-19,BN00055,1035-2024-04-01
56,1943,29,6,2022-04-13,36,60,24,30,1,2022-07-24,BN00056,1943-2022-04-13
57,319,733,4,2024-07-23,102,112,10,30,2,2024-12-30,BN00057,319-2024-07-23
58,135,1102,3,2022-11-10,128,133,5,30,1,2023-03-29,BN00058,135-2022-11-10
59,1382,556,4,2023-02-18,135,135,0,30,4,2023-07-18,BN00059,1382-2023-02-18
60,1129,998,4,2022-04-21,129,135,6,30,3,2022-08-24,BN00060,1129-2022-04-21
61,511,201,7,2022-11-30,72,77,5,30,2,2023-04-12,BN00061,511-2022-11-30
62,603,820,4,2023-08-04,120,130,10,30,2,2023-11-02,BN00062,603-2023-08-04
63,367,2383,6,2025-01-28,19,36,17,30,4,2025-06-20,BN00063,367-2025-01-28
64,1471,1431,3,2023-10-21,37,49,12,30,2,2024-02-25,BN00064,1471-2023-10-21
65,1450,2847,8,2022-07-17,63,72,9,30,3,2022-10-28,BN00065,1450-2022-07-17
66,1032,136,2,2022-11-04,26,34,8,30,1,2023-03-14,BN00066,1032-2022-11-04
67,1048,2313,4,2022-01-03,146,147,1,30,2,2022-06-02,BN00067,1048-2022-01-03
68,791,466,7,2022-03-23,64,70,6,30,5,2022-07-29,BN00068,791-2022-03-23
69,1922,2888,1,2024-06-23,114,124,10,30,1,2024-11-10,BN00069,1922-2024-06-23
70,1574,1690,4,2023-03-15,37,37,0,30,1,2023-09-01,BN00070,1574-2023-03-15
71,413,873,1,2023-04-02,47,47,0,30,4,2023-09-12,BN00071,413-2023-04-02
72,221,567,3,2024-01-05,97,114,17,30,1,2024-05-28,BN00072,221-2024-01-05
73,1324,1403,2,2023-05-05,33,36,3,30,2,2023-10-18,BN00073,1324-2023-05-05
74,887,2530,4,2024-07-03,140,150,10,30,1,2024-11-21,BN00074,887-2024-07-03
75,446,13,1,2023-05-07,63,64,1,30,5,2023-10-22,BN00075,446-2023-05-07
76,802,349,3,2023-12-21,113,113,0,30,4,2024-03-21,BN00076,802-2023-12-21
77,1642,602,7,2025-05-22,138,138,0,30,1,2025-10-23,BN00077,1642-2025-05-22
78,899,1423,3,2022-09-19,69,78,9,30,1,2023-01-04,BN00078,899-2022-09-19
79,1619,2488,3,2025-05-20,115,128,13,30,3,2025-09-15,BN00079,1619-2025-05-20
80,1671,686,2,2024-03-08,149,149,0,30,2,2024-08-06,BN00080,1671-2024-03-08
81,177,2451,4,2022-08-06,112,126,14,30,3,2022-11-18,BN00081,177-2022-08-06
82,838,2073,5,2024-01-21,100,105,5,30,4,2024-05-03,BN00082,838-2024-01-21
83,333,1389,6,2024-05-20,15,31,16,30,1,2024-10-31,BN00083,333-2024-05-20
84,74,2508,6,2023-05-10,118,118,0,30,4,2023-10-09,BN00084,74-2023-05-10
85,520,782,8,2024-01-27,46,46,0,30,3,2024-06-11,BN00085,520-2024-01-27
86,411,2051,4,2024-04-11,69,75,6,30,2,2024-08-09,BN00086,411-2024-04-11
87,84,559,6,2024-11-07,109,127,18,30,4,2025-02-17,BN00087,84-2024-11-07
88,891,2671,6,2022-07-08,38,46,8,30,4,2022-12-09,BN00088,891-2022-07-08
89,1864,2813,4,2022-11-27,36,50,14,30,1,2023-05-22,BN00089,1864-2022-11-27
90,1467,1235,4,2023-03-30,101,108,7,30,3,2023-08-10,BN00090,1467-2023-03-30
