product_id,product_name,brand,category,sub_category,source_type,factory_id,shelf_life,packaging_type,unit_size,sku,last_modified
1,CHIN-SU Nước mắm 500ml,CHIN-SU,Gia vị,Nước mắm,inhouse,1.0,689,Chai nhựa,500ml,SKU00001,2025-05-13 17:32:50.144500
2,CHIN-SU Nước mắm 750ml,CHIN-SU,Gia vị,Nước mắm,inhouse,1.0,631,Chai nhựa,750ml,SKU00002,2024-11-11 12:52:28.281872
3,CHIN-SU Nước mắm 1L,CHIN-SU,Gia vị,Nước mắm,inhouse,1.0,687,Hộp giấy,1L,SKU00003,2025-01-18 10:29:52.514460
4,CHIN-SU Tương ớt 250g,CHIN-SU,Gia vị,Tương ớt,inhouse,1.0,357,Túi,250g,SKU00004,2024-12-26 18:44:18.553881
5,CHIN-SU Tương ớt 500g,CHIN-SU,Gia vị,Tương ớt,inhouse,1.0,330,Túi,500g,SKU00005,2024-10-17 15:42:04.729643
6,Nam Ngư Nước mắm 500ml,Nam Ngư,Gia vị,Nước mắm,inhouse,1.0,277,Chai nhựa,500ml,SKU00006,2025-02-05 15:09:51.516552
7,Nam Ngư Nước mắm 750ml,Nam Ngư,Gia vị,Nước mắm,inhouse,1.0,455,Chai nhựa,750ml,SKU00007,2025-02-28 07:08:31.277947
8,Nam Ngư Nước mắm 1L,Nam Ngư,Gia vị,Nước mắm,inhouse,1.0,501,Hộp giấy,1L,SKU00008,2024-12-28 21:26:06.967413
9,Tam Thái Tử Nước tương 500ml,Tam Thái Tử,Gia vị,Nước tương,inhouse,1.0,643,Chai nhựa,500ml,SKU00009,2025-03-21 23:33:47.789707
10,Tam Thái Tử Nước tương 750ml,Tam Thái Tử,Gia vị,Nước tương,inhouse,1.0,238,Chai nhựa,750ml,SKU00010,2025-01-18 21:20:12.475733
11,Omachi Mì ly 80g,Omachi,Mì,Mì ly,inhouse,2.0,704,Túi,80g,SKU00011,2024-08-03 23:01:43.367308
12,Omachi Mì ly 85g,Omachi,Mì,Mì ly,inhouse,2.0,574,Túi,85g,SKU00012,2024-11-18 18:38:58.555277
13,Omachi Mì gói 85g,Omachi,Mì,Mì gói,inhouse,2.0,360,Túi,85g,SKU00013,2024-06-25 23:08:19.350195
14,Omachi Mì gói 90g,Omachi,Mì,Mì gói,inhouse,2.0,552,Túi,90g,SKU00014,2024-12-03 00:49:50.738063
15,Kokomi Mì gói 75g,Kokomi,Mì,Mì gói,inhouse,2.0,268,Túi,75g,SKU00015,2024-10-31 02:54:43.377859
16,Kokomi Mì gói 85g,Kokomi,Mì,Mì gói,inhouse,2.0,652,Túi,85g,SKU00016,2024-07-28 23:25:36.964366
17,Sagami Mì gói 90g,Sagami,Mì,Mì gói,inhouse,2.0,521,Túi,90g,SKU00017,2024-08-23 03:55:53.204342
18,MEATDeli Thịt heo mát 500g,MEATDeli,Thịt,Thịt heo mát,inhouse,3.0,412,Túi,500g,SKU00018,2025-05-21 02:27:54.000895
19,MEATDeli Thịt heo mát 1kg,MEATDeli,Thịt,Thịt heo mát,inhouse,3.0,204,Túi,1kg,SKU00019,2024-10-20 02:58:38.116309
20,MEATDeli Thịt heo mát 2kg,MEATDeli,Thịt,Thịt heo mát,inhouse,3.0,700,Túi,2kg,SKU00020,2025-03-31 16:25:15.669300
21,Vinacafé Cà phê hòa tan 18 gói,Vinacafé,Đồ uống,Cà phê hòa tan,inhouse,4.0,635,Túi,18 gói,SKU00021,2025-05-07 21:05:27.357369
22,Vinacafé Cà phê hòa tan 20 gói,Vinacafé,Đồ uống,Cà phê hòa tan,inhouse,4.0,301,Túi,20 gói,SKU00022,2025-02-15 10:06:09.043483
23,Vinacafé Cà phê hòa tan 25 gói,Vinacafé,Đồ uống,Cà phê hòa tan,inhouse,4.0,222,Túi,25 gói,SKU00023,2025-03-07 07:37:18.801054
24,Wake-Up 247 Nước tăng lực 240ml,Wake-Up 247,Đồ uống,Nước tăng lực,inhouse,4.0,585,Chai nhựa,240ml,SKU00024,2025-06-07 06:20:36.863624
