sale_id,product_id,customer_id,store_id,date_id,quantity,unit_price,total_amount,promo_id,inventory_id,shipment_id
1,1264,3147,627,2025-05-04,10,43651.89,436518.9,17.0,6744,6744
2,1707,3319,273,2024-10-22,8,40782.39,326259.12,24.0,6710,6710
3,1955,829,2013,2025-03-12,4,5553.21,22212.84,30.0,1832,1832
4,1226,2483,2755,2023-11-21,3,21074.6,63223.8,27.0,7865,7865
5,155,151,307,2024-11-08,8,16640.33,133122.64,,11692,11692
6,1620,4272,2869,2023-11-23,10,21845.62,218456.2,4.0,2152,2152
7,79,22,1402,2023-07-11,4,39051.57,156206.28,5.0,832,832
8,950,1041,1736,2024-02-28,8,37680.36,301442.88,1.0,331,331
9,138,1417,991,2025-05-20,1,11675.97,11675.97,23.0,7652,7652
10,1443,483,2374,2025-05-22,8,22117.89,176943.12,,5061,5061
11,1596,4801,1507,2025-02-07,3,28310.71,84932.13,21.0,9680,9680
12,1311,4242,1913,2024-12-15,3,19198.55,57595.65,4.0,4608,4608
13,1996,3089,648,2023-12-12,9,13992.32,125930.88,16.0,5615,5615
14,1039,965,1846,2023-05-17,9,28463.86,256174.74,10.0,6962,6962
15,1190,2208,2519,2024-09-08,4,24254.13,97016.52,,7175,7175
16,446,1679,1751,2023-12-26,7,19739.78,138178.46,5.0,4369,4369
17,404,2285,2946,2025-03-03,2,38442.7,76885.4,23.0,694,694
18,711,27,2575,2023-01-20,1,20539.23,20539.23,9.0,4272,4272
19,567,2882,1513,2024-08-21,3,31985.39,95956.17,26.0,7477,7477
20,1230,2404,313,2025-04-12,1,23975.69,23975.69,21.0,2794,2794
21,327,2761,1995,2024-09-19,1,35330.14,35330.14,,7539,7539
22,720,2511,1476,2025-04-26,2,40927.81,81855.62,8.0,11335,11335
23,916,1802,2803,2025-05-20,1,13840.34,13840.34,2.0,7359,7359
24,290,1568,412,2025-01-29,4,29419.47,117677.88,24.0,7671,7671
25,999,3178,2749,2024-11-16,2,15811.21,31622.42,3.0,4105,4105
26,1594,4299,1697,2023-10-04,7,9563.68,66945.76,19.0,1103,1103
27,1374,4301,1415,2024-08-07,10,7538.43,75384.3,27.0,11498,11498
28,1773,3525,1419,2025-06-01,9,41222.93,371006.37,28.0,7523,7523
29,209,1504,1058,2025-03-23,6,15096.99,90581.94,1.0,11863,11863
30,187,4574,1817,2024-06-14,2,24728.16,49456.32,13.0,7679,7679
31,504,1449,1582,2024-10-15,4,25093.85,100375.4,20.0,11608,11608
32,1876,1359,277,2024-01-11,10,34711.77,347117.7,2.0,1643,1643
33,141,2263,2687,2023-11-27,9,46701.6,420314.4,21.0,867,867
34,345,4535,470,2025-05-05,1,17426.74,17426.74,1.0,9670,9670
35,139,2458,1755,2023-08-12,3,7358.2,22074.6,1.0,1299,1299
36,1922,2526,2888,2024-12-28,4,44391.48,177565.92,19.0,69,69
37,1468,758,162,2024-02-08,2,36705.7,73411.4,27.0,5169,5169
38,312,1383,2964,2025-04-30,3,5764.12,17292.36,29.0,8901,8901
39,874,4587,1553,2025-01-16,9,48776.61,438989.49,25.0,8377,8377
