shipment_id,warehouse_id,store_id,product_id,shipment_date,shipping_time_days,transportation_cost,delivery_status,quantity
1,5,79,1015,2023-01-02,1,614.37,Delivered,93
2,8,920,1902,2023-06-01,3,499.04,Delivered,41
3,5,2616,261,2024-11-30,2,866.03,Delivered,149
4,3,1053,786,2023-11-22,2,651.71,Delivered,89
5,7,2700,1323,2023-01-19,3,186.06,Delivered,116
6,4,2380,1622,2022-01-23,1,688.29,Delivered,35
7,1,1331,1194,2022-03-25,2,499.52,Delivered,95
8,4,2984,756,2022-02-25,5,865.99,Delivered,106
9,5,361,339,2024-04-01,2,177.99,Delivered,120
10,4,398,255,2024-04-28,5,676.82,Delivered,100
11,7,1697,107,2025-04-11,3,956.34,Delivered,37
12,2,140,1522,2024-04-21,2,359.05,Delivered,34
13,4,2451,1878,2022-03-28,4,539.12,Delivered,86
14,6,244,1840,2024-02-28,4,925.43,Delivered,134
15,4,1198,1958,2022-02-25,1,745.42,Delivered,129
16,3,1643,1390,2022-01-15,5,304.08,Delivered,116
17,1,2563,1721,2023-03-26,1,186.25,Delivered,68
18,4,2579,1335,2023-11-05,1,557.35,Delivered,130
19,6,267,1671,2023-03-11,3,113.99,Delivered,105
20,4,1945,463,2023-04-01,5,533.34,Delivered,148
21,1,2086,1978,2022-05-09,3,802.34,Delivered,132
22,4,1033,1690,2024-04-10,4,409.47,Delivered,57
23,5,1489,1675,2023-11-14,4,235.07,Delivered,132
24,2,1648,180,2022-02-17,3,507.88,Delivered,110
25,4,1136,71,2025-03-01,5,431.39,Delivered,37
26,6,1215,1487,2025-04-01,1,349.08,Delivered,64
27,8,1983,1747,2023-12-08,2,302.35,Delivered,94
28,4,1594,1931,2023-02-01,5,741.47,Delivered,106
29,6,1705,1199,2024-11-17,3,999.78,Delivered,132
30,4,737,462,2023-09-15,5,452.05,Delivered,42
31,8,619,1205,2024-02-21,4,260.29,Delivered,57
32,6,2114,1260,2022-07-15,3,709.71,Delivered,147
33,1,1735,669,2023-02-22,3,417.22,Delivered,94
34,1,1224,1884,2022-07-21,2,208.2,Delivered,33
35,6,1834,1706,2025-02-12,4,106.59,Delivered,105
36,6,2533,1173,2024-04-09,2,382.59,Delivered,125
37,4,741,724,2024-07-31,2,154.3,Delivered,134
38,8,2424,566,2022-01-21,1,760.5,Delivered,92
39,1,2730,1391,2025-01-13,4,668.51,Delivered,103
40,8,345,198,2022-10-13,1,893.03,Delivered,90
