store_id,store_name,store_type,channel_type,region_id,warehouse_id,partner_name,opened_date
1,WinMart Huế,WinMart,MT,2,4,,2024-04-09
2,WinMart+ Bình Dương,WinMart+,MT,3,6,,2023-05-12
3,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2024-10-31
4,WinMart+ Cần Thơ,WinMart+,GT,3,7,,2025-04-03
5,WinMart+ Vĩnh Phúc,WinMart+,Horeca,1,2,,2021-04-13
6,WinMart+ Đà Nẵng,WinMart+,Horeca,2,4,,2022-01-23
7,GS25 - Huế,Partner,Horeca,2,4,GS25,2024-11-29
8,WinMart+ Quảng Ngãi,WinMart+,GT,2,4,,2020-09-30
9,WinMart+ Bắc Ninh,WinMart+,GT,1,2,,2020-08-09
10,WinMart Hải Dương,WinMart,MT,1,2,,2020-07-14
11,WinMart+ Hải Dương,WinMart+,GT,1,2,,2024-04-11
12,WinMart Đà Nẵng,WinMart,MT,2,4,,2025-02-09
13,WinMart Hải Dương,WinMart,MT,1,1,,2022-10-26
14,WinMart+ Hà Nội,WinMart+,MT,1,1,,2024-12-20
15,WinMart Hải Dương,WinMart,Horeca,1,2,,2023-12-17
16,WinMart+ Hải Dương,WinMart+,MT,1,1,,2025-05-02
17,WinMart+ Bắc Ninh,WinMart+,GT,1,2,,2023-02-13
18,WinMart+ Hưng Yên,WinMart+,MT,1,3,,2024-01-22
19,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2020-08-02
20,WinMart+ Đồng Nai,WinMart+,MT,3,6,,2023-01-11
21,FamilyMart - Hải Dương,Partner,MT,1,3,FamilyMart,2021-02-27
22,Satra Foods - Huế,Partner,MT,2,4,Satra Foods,2020-12-18
23,The Coffee House - Bình Dương,Partner,MT,3,8,The Coffee House,2020-11-02
24,WinMart+ Quảng Ngãi,WinMart+,Horeca,2,4,,2022-01-24
25,WinMart+ Hà Nội,WinMart+,MT,1,3,,2022-03-07
26,VinDS - Vĩnh Phúc,Partner,Horeca,1,1,VinDS,2021-08-24
27,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,GT,3,6,,2020-07-28
28,Highlands Coffee - Bình Dương,Partner,Horeca,3,6,Highlands Coffee,2025-01-06
29,WinMart+ Bình Dương,WinMart+,MT,3,6,,2024-10-24
30,WinMart+ Cần Thơ,WinMart+,GT,3,8,,2020-09-03
31,WinMart Đồng Nai,WinMart,MT,3,5,,2022-06-22
32,WinMart Vĩnh Phúc,WinMart,MT,1,2,,2024-05-11
33,WinMart+ Hưng Yên,WinMart+,MT,1,2,,2024-08-23
34,WinMart Cần Thơ,WinMart,GT,3,7,,2023-04-02
35,Bách Hóa Xanh - Hưng Yên,Partner,Horeca,1,3,Bách Hóa Xanh,2025-03-20
36,WinMart+ Hà Nội,WinMart+,MT,1,1,,2021-06-30
37,WinMart Huế,WinMart,MT,2,4,,2020-06-26
38,WinMart+ Long An,WinMart+,Horeca,3,8,,2024-08-29
39,WinMart+ Bắc Ninh,WinMart+,MT,1,2,,2022-09-10
40,WinMart TP.HCM,WinMart,GT,3,6,,2025-02-09
41,Tạp Hóa Chú Ba - Quảng Nam,Partner,GT,2,4,Tạp Hóa Chú Ba,2023-01-19
42,Tạp Hóa Chú Ba - Quảng Ngãi,Partner,Horeca,2,4,Tạp Hóa Chú Ba,2023-01-20
43,WinMart+ Cần Thơ,WinMart+,MT,3,6,,2022-02-03
44,FamilyMart - Bà Rịa-Vũng Tàu,Partner,GT,3,6,FamilyMart,2022-02-17
45,FamilyMart - Bình Dương,Partner,MT,3,7,FamilyMart,2023-08-23
46,WinMart+ Hải Dương,WinMart+,MT,1,1,,2021-08-29
47,WinMart+ Đà Nẵng,WinMart+,GT,2,4,,2023-10-03
48,Tạp Hóa Chú Ba - Quảng Ngãi,Partner,MT,2,4,Tạp Hóa Chú Ba,2021-11-09
49,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2024-12-27
50,Guardian - Long An,Partner,GT,3,5,Guardian,2021-08-19
51,WinMart+ Bình Dương,WinMart+,MT,3,8,,2023-12-09
52,WinMart+ Quảng Ngãi,WinMart+,GT,2,4,,2023-11-17
53,WinMart Quảng Ngãi,WinMart,MT,2,4,,2025-04-16
54,WinMart+ Đồng Nai,WinMart+,GT,3,7,,2021-11-16
55,WinMart Long An,WinMart,MT,3,5,,2021-03-07
56,WinMart+ Hải Dương,WinMart+,GT,1,2,,2022-01-09
57,WinMart Vĩnh Phúc,WinMart,MT,1,3,,2022-06-22
58,WinMart+ Vĩnh Phúc,WinMart+,MT,1,1,,2024-07-14
59,Ministop - Quảng Nam,Partner,Horeca,2,4,Ministop,2020-10-19
60,WinMart+ Vĩnh Phúc,WinMart+,MT,1,3,,2022-12-18
61,WinMart Hải Dương,WinMart,MT,1,3,,2024-06-15
62,WinMart+ Quảng Nam,WinMart+,GT,2,4,,2022-01-12
63,WinMart+ Hải Dương,WinMart+,MT,1,1,,2020-07-16
64,WinMart Hải Dương,WinMart,GT,1,1,,2021-08-26
65,WinMart Long An,WinMart,GT,3,5,,2022-05-06
66,WinMart+ Huế,WinMart+,MT,2,4,,2021-04-27
67,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2020-10-19
68,WinMart Hưng Yên,WinMart,MT,1,2,,2021-09-01
69,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,GT,3,8,,2024-03-07
70,WinMart Quảng Ngãi,WinMart,Horeca,2,4,,2022-09-22
71,Tạp Hóa Bà Sáu - Bình Dương,Partner,MT,3,8,Tạp Hóa Bà Sáu,2024-10-22
72,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,MT,3,7,,2023-09-06
73,WinMart Đà Nẵng,WinMart,MT,2,4,,2023-11-15
74,WinMart Quảng Ngãi,WinMart,MT,2,4,,2024-02-20
75,WinMart Vĩnh Phúc,WinMart,MT,1,1,,2024-10-02
76,WinMart+ Bình Dương,WinMart+,GT,3,6,,2021-11-13
77,WinMart+ Đà Nẵng,WinMart+,MT,2,4,,2022-02-05
78,WinMart+ Huế,WinMart+,MT,2,4,,2022-10-15
79,Circle K - TP.HCM,Partner,GT,3,5,Circle K,2023-06-23
80,WinMart Hưng Yên,WinMart,GT,1,3,,2022-04-11
81,WinMart+ Bình Dương,WinMart+,GT,3,7,,2024-05-09
82,WinMart+ Huế,WinMart+,Horeca,2,4,,2022-07-03
83,WinMart+ Quảng Nam,WinMart+,MT,2,4,,2020-12-24
84,WinMart+ Đồng Nai,WinMart+,GT,3,7,,2024-06-16
85,Tạp Hóa Bà Sáu - Đồng Nai,Partner,Horeca,3,6,Tạp Hóa Bà Sáu,2022-04-29
86,WinMart+ Đà Nẵng,WinMart+,GT,2,4,,2024-04-04
87,WinMart+ Long An,WinMart+,Horeca,3,6,,2022-08-26
88,WinMart+ Bà Rịa-Vũng Tàu,WinMart+,MT,3,5,,2025-03-07
89,WinMart+ Quảng Ngãi,WinMart+,MT,2,4,,2022-01-27
