product_id,total_stock,total_sales,stock_to_sales_ratio,risk_level,product_name
26,214.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Wake-Up 247 Nước tăng lực 500ml
2003,162.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Nestlé Election Vị Mới 100g
51,243.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Vinamilk Which Đặc Biệt 250ml
1629,115.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Acecook Her Đặc Biệt 250ml
655,129.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Acecook Particularly Dinh Dưỡng 500ml
294,138.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Suntory Son Dinh Dưỡng 1kg
244,112.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",PepsiCo Adult Thượng Hạng 250ml
790,144.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Nestlé Two Dinh Dưỡng 330ml
170,144.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",PepsiCo No Premium 1L
1107,143.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Acecook Pattern Premium 500g
1024,97.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Suntory Dog Thượng Hạng 700ml
409,115.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Ajinomoto Letter Premium 100g
335,222.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",PepsiCo Each Vị Mới 250ml
502,137.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",TH True Milk Investment Vị Mới 500g
448,47.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Ajinomoto Onto Thượng Hạng 100g
1883,70.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",TH True Milk Teach Vị Mới 500g
1085,211.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Suntory Lawyer Premium 700ml
1771,61.0,0.0,inf,"Nguy hiểm: Có tồn kho, không bán được",Nestlé Program Dinh Dưỡng 500ml
1132,118.0,1.0,118.0,Rủi ro cao: Tồn kho lớn so với doanh số,Nestlé Key Premium 500ml
385,150.0,2.0,75.0,Rủi ro cao: Tồn kho lớn so với doanh số,Vinamilk Though Dinh Dưỡng 500g
2014,149.0,2.0,74.5,Rủi ro cao: Tồn kho lớn so với doanh số,Ajinomoto Agency Đặc Biệt 1kg
849,436.0,6.0,72.66666666666667,Rủi ro cao: Tồn kho lớn so với doanh số,PepsiCo Sign Premium 100g
31,71.0,1.0,71.0,Rủi ro cao: Tồn kho lớn so với doanh số,Ponnie Xúc xích 300g
1153,62.0,1.0,62.0,Rủi ro cao: Tồn kho lớn so với doanh số,Suntory Contain Vị Mới 1L
1642,150.0,3.0,50.0,Rủi ro cao: Tồn kho lớn so với doanh số,PepsiCo Rest Thượng Hạng 500ml
364,146.0,3.0,48.666666666666664,Rủi ro cao: Tồn kho lớn so với doanh số,P&G Degree Dinh Dưỡng 700ml
1798,239.0,5.0,47.8,Rủi ro cao: Tồn kho lớn so với doanh số,Ajinomoto Where Dinh Dưỡng 1L
1536,142.0,3.0,47.333333333333336,Rủi ro cao: Tồn kho lớn so với doanh số,PepsiCo Professional Dinh Dưỡng 500ml
1383,295.0,7.0,42.142857142857146,Rủi ro cao: Tồn kho lớn so với doanh số,Unilever Question Đặc Biệt 330ml
1531,125.0,3.0,41.666666666666664,Rủi ro cao: Tồn kho lớn so với doanh số,Ajinomoto Operation Premium 500g
1579,121.0,3.0,40.333333333333336,Rủi ro cao: Tồn kho lớn so với doanh số,PepsiCo First Vị Mới 1kg
2033,524.0,13.0,40.30769230769231,Rủi ro cao: Tồn kho lớn so với doanh số,Acecook Side Premium 500ml
1275,115.0,3.0,38.333333333333336,Rủi ro cao: Tồn kho lớn so với doanh số,Nestlé Agreement Dinh Dưỡng 100g
1699,420.0,11.0,38.18181818181818,Rủi ro cao: Tồn kho lớn so với doanh số,Vinamilk Stock Premium 500ml
287,335.0,9.0,37.22222222222222,Rủi ro cao: Tồn kho lớn so với doanh số,Unilever Language Dinh Dưỡng 1L
1661,276.0,8.0,34.5,Rủi ro cao: Tồn kho lớn so với doanh số,Acecook Positive Premium 1L
623,310.0,9.0,34.44444444444444,Rủi ro cao: Tồn kho lớn so với doanh số,Acecook Purpose Vị Mới 500g
1925,307.0,9.0,34.111111111111114,Rủi ro cao: Tồn kho lớn so với doanh số,Vinamilk Maintain Dinh Dưỡng 1L
